City,type ,room_number,Area,Street ,number_in_street,city_area,price,num_of_images,floor_out_of,hasElevator ,hasParking,hasBars,hasStorage,hasAirCondition,hasBalcony,hasMamad,handicapFriendly,condition,entranceDate,furniture,publishedDays,description
דימונה,דירה,3,65,שדרות הנשיא ,44, פרחי ארצנו ,600000.0,0.0,קומה 2 מתוך 3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,לא צויין,לא צויין,דירה 65 מטר במיקום מרכזי ממול העירייה ומרכז המסחרי של העיר,11 days 02:00:33.118705,דירה 65 מטר במיקום מרכזי ממול העירייה ומרכז המסחרי של העיר
דימונה,קוטג',5,130,תל ערד ,, ממשית ,1650000.0,5.0,קומת קרקע,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,משופץ,גמיש,לא צויין,11 days 02:00:33.397491,בית 5 חדעם תוספות בניה עם אישורים153 מ״ר ברוטומגרש 250 מ״רגינה כ 120 מ״ר
דימונה,דירה,4,138,הרב אליעזר אבוחצירה ,, השחר ,1330000.0,10.0,קומה 3 מתוך 5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,חדש,לא צויין,לא צויין,11 days 02:00:33.704279,"בשכונה החדשה בדימונהפרוייקט של עומר הנדסהדירת 4 חדרים138 מ""רמרפסתממ""דמעליתחניהמשופצת ברמה גבוהה!!!"
דימונה,דירה,3,74,חטיבת הראל ,82, נווה דוד ,580000.0,13.0,קומה 2 מתוך 3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,ישן,גמיש,חלקי,11 days 02:00:33.995194,"בנווה דוד - שכונה טובה בדימונה, דירת 3 חדרים יפה עם אוורור טוב, קרובה לתחבורה ציבורית ולקניון דמרי ושופרסל. דורשת תיקונים קלים בחדר האמבטיה ובמרפסת על התקרה. יש שני מחסנים: אחד 10 מ""ר בקומת הקרקע בין העמודים, השני מתחת למדרגות (נוח מאוד לאופניים או קורקינט חשמלי)
מרוהט חלקי. מזגן מיני מרכזי, מקרר, תנור גז, מכונת כביסה, ספה וכורסא, פינת אוכל במטבח, מזנון, מיטה זוגית וסט חדר שינה"
דימונה,דירה,3,65,מרחבים ,131, שכונה לדוגמא ,540000.0,6.0,קומה 3 מתוך 3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,שמור,מיידי,חלקי,11 days 02:00:34.276573,"דירה מדהימה להשקעה. 
מרווחת, מחולקת טוב וממוקמת באזור עם ביקוש גדול."
דימונה,דירה,3,,בבא סאלי ,, פרחי ארצנו ,580000.0,4.0,קומה 1 מתוך 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,שמור,לא צויין,לא צויין,11 days 02:00:34.511515,*ברחוב בבא סאלי *קומה 1*3 חדרים *כ-60 מר 
דימונה,דירה,2.5,46,טיילת הספורט ,144, מלכי ישראל ,500000.0,7.0,קומה 2 מתוך 2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,משופץ,מיידי,לא צויין,11 days 02:00:34.760435,"דירת .חלומית 2.5 חדרים יפיפייה, משופצת מהיסוד מטבח מנגר שייש דקתון דלתות פולימר מזגנים, מרוהטת ומאובזרת 50 מ מהקניון החדש שכונה המבוקשת,  לפרטים לפנות באין מענה תשאירו הודעה ונחזור 
✅ דירת 2 חדרים.
✅ משופצת מהיסוד ברמה גבוהה!
מושכר ב 2300 שח"
דימונה,דירה,5,139,תל לכיש ,4, ממשית ,1390000.0,0.0,קומה 2 מתוך 7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,חדש,לא צויין,לא צויין,11 days 02:00:35.082602,דירת 5 חדרים 127 פלוס 12 מטר מרפסת חניה מול הכניסה תכנון מעולה מרפסת סגורה עם מרקיזה שכנים טובים בניין מתוחזק היטב
דימונה,דירה,4,120,הרב אברהם קוק ,42, השחר ,1650000.0,0.0,קומה 1 מתוך 8,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,לא צויין,לא צויין,לא צויין,11 days 02:00:35.412512,"דירה חדשה ומשודרגת מקבלן,מזגן מיני מרכזי כולל הנמכת תיקרה,מטבח 8 מטר,כניסה מיידית,כל הקודם זוכה,לא בשבת"
דימונה,דירת גן,3,74,,,,900000.0,8.0,קומת קרקע,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,משופץ,גמיש,לא צויין,11 days 02:00:35.711821,"דירת גן בתשלוז 3 חדרים74 מר ארנונהמשופצתמושכרת ב 3,000₪ 100 מר גינהכולל מחסן וסככה מאושר!מחיר שיווק 1M₪"
דימונה,דירה,3,79,יהודה הלוי ,, חכמי ישראל (תשלוז) ,685000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:35.726675,
דימונה,דירה,4,92,שלמה אבן גבירול ,34, חכמי ישראל (תשלוז) ,750000.0,0.0,קומה 1 מתוך 2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,משופץ,לא צויין,לא צויין,11 days 02:00:36.003284,מעולה למשקיעים! יש שוכר לטווח ארוך ב2800 שח. יש מיזוג לכל הדירה. דירה במצב מצויין! ללא תיווך! עדיף לשלוח ווצאפ
דימונה,דירה,4,123,ירושלים ,10, ממשית ,1250000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.015238,
דימונה,דירה,4,80,דרך השלום ,, שכונה לדוגמא ,575000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.019166,
דימונה,דירה,4,96,משעול רוגל ,, נווה דוד ,610000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.022165,
דימונה,דירה,3,68,צוקרמן יצחק רחבה ,1, הנצחון ,620000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.025152,
דימונה,דירה,2,45,דיין משה ,117, נאות קטיף ,520000.0,0.0,קומה 1 מתוך 4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,משופץ,לא צויין,הדירה מרוהטת מלא סלון פינת אוכל .2 טלוויזיות.מקרר.תנור גז ואפיה.מיטה וארון בגדים,11 days 02:00:36.330140,אזור טוב ושקט בדימונה.שכנים נוחים.הדירה מושכרת לטווח ארוך ב 1700 שח.דייר נוח מאד.תשלום שכירות על הדירה חצי שנה מראש.לא כולל חשבונות.קומה נמוכה(משמעותי מאד בהשכרה).מי שרוצה את הדירה למגורים אפשרי פינוי השוכר בהודעה של חודש מראש
דימונה,דירה,4,100,הרב אליעזר אבוחצירה ,, השחר ,1270000.0,5.0,קומה 2 מתוך 5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,חדש מקבלן,מיידי,לא צויין,11 days 02:00:36.634362,"חדש בבלעדיות למכירה בדימונה בהזדמנות נדירה בשכונת השחר דירה חדשה מקבלן קומה ב'4 חדרים 100 מ""ר ממ""ד מעלית חניה מרפסת "
דימונה,דירה,4,75,המעפיל ,, נאות קטיף ,590000.0,7.0,קומה 3 מתוך 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,משופץ,מיידי,לא צויין,11 days 02:00:36.928608,"חדש בבלעדיות למכירה בדימונה בשכונה לדוגמה קומה 3 מתוך 3 , 4 חדרים 75 מ""ר 4 מזגנים כניסה מיידית מעולה למשקיעים לפרטים נוספים חייגו"
דימונה,דירה,3,70,מרחבים ,120, נווה גן ,560000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.941614,
דימונה,דירה,4,89,מרחבים ,122, נווה גן ,625000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11 days 02:00:36.944612,
